,emotion
2002,joy
2003,joy
2004,joy
2005,joy
2006,neutral
2007,joy
2008,sadness
2009,joy
2010,joy
2011,neutral
2012,joy
2013,joy
2014,joy
2015,joy
2016,sadness
2017,joy
2018,joy
2019,sadness
2020,joy
2021,joy
2022,joy
2023,joy
2024,joy
2025,joy
2026,neutral
2027,neutral
2028,joy
2029,joy
2030,joy
2031,joy
2032,anger
2033,joy
2034,joy
2035,joy
2036,joy
2037,joy
2038,joy
2039,sadness
2040,sadness
2041,joy
2042,joy
2043,joy
2044,joy
2045,neutral
2046,joy
2047,joy
2048,joy
2049,joy
2050,joy
2051,joy
2052,joy
2053,anger
2054,joy
2055,joy
2056,joy
2057,joy
2058,joy
2059,joy
2060,joy
2061,disgust
2062,joy
2063,joy
2064,disgust
2065,joy
2066,joy
2067,joy
2068,sadness
2069,sadness
2070,joy
2071,neutral
2072,joy
2073,joy
2074,joy
2075,joy
2076,joy
2077,joy
2078,joy
2079,joy
2080,neutral
2081,joy
2082,joy
2083,joy
2084,joy
2085,joy
2086,joy
2087,joy
2088,joy
2089,joy
2090,joy
2091,joy
2092,joy
2093,joy
2094,joy
2095,joy
2096,joy
2097,joy
2098,joy
2099,joy
2100,joy
2101,joy
2102,joy
2103,joy
2104,joy
2105,joy
2106,joy
2107,joy
2108,sadness
2109,joy
2110,joy
2111,joy
2112,joy
2113,joy
2114,joy
2115,joy
2116,joy
2117,joy
2118,joy
2119,joy
2120,joy
2121,joy
2122,joy
2123,joy
2124,joy
2125,joy
2126,joy
2127,joy
2128,fear
2129,joy
2130,joy
2131,neutral
2132,joy
2133,joy
2134,joy
2135,joy
2136,joy
2137,joy
2138,joy
2139,anger
2140,joy
2141,joy
2142,joy
2143,joy
2144,joy
2145,anger
2146,neutral
2147,joy
2148,joy
2149,joy
2150,joy
2151,joy
2152,joy
2153,neutral
2154,joy
2155,joy
2156,joy
2157,joy
2158,joy
2159,joy
2160,sadness
2161,joy
2162,joy
2163,joy
2164,joy
2165,joy
2166,joy
2167,sadness
2168,joy
2169,joy
2170,joy
2171,joy
2172,joy
2173,joy
2174,disgust
2175,joy
2176,joy
2177,joy
2178,joy
2179,joy
2180,joy
2181,joy
2182,joy
2183,joy
2184,joy
2185,joy
2186,sadness
2187,joy
2188,joy
2189,neutral
2190,joy
2191,joy
2192,joy
2193,joy
2194,joy
2195,sadness
2196,joy
2197,joy
2198,joy
2199,joy
2200,neutral
2201,joy
2202,joy
2203,disgust
2204,joy
2205,neutral
2206,joy
2207,joy
2208,joy
2209,joy
2210,joy
2211,joy
2212,neutral
2213,joy
2214,joy
2215,joy
2216,joy
2217,joy
2218,joy
2219,joy
2220,joy
2221,joy
2222,joy
2223,joy
2224,joy
2225,joy
2226,joy
2227,joy
2228,joy
2229,joy
2230,joy
2231,joy
2232,anger
2233,joy
2234,joy
2235,joy
2236,disgust
2237,joy
2238,joy
2239,neutral
2240,joy
2241,joy
2242,joy
2243,joy
2244,joy
2245,joy
2246,joy
2247,joy
2248,joy
2249,joy
2250,joy
2251,joy
2252,joy
2253,joy
2254,joy
2255,joy
2256,joy
2257,joy
2258,joy
2259,joy
2260,neutral
2261,neutral
2262,sadness
2263,joy
2264,joy
2265,joy
2266,joy
2267,joy
2268,joy
2269,joy
2270,joy
2271,joy
2272,joy
2273,joy
2274,joy
2275,disgust
2276,sadness
2277,sadness
2278,joy
2279,joy
2280,joy
2281,joy
2282,joy
2283,joy
2284,joy
2285,joy
2286,joy
2287,joy
2288,joy
2289,sadness
2290,joy
2291,joy
2292,joy
2293,joy
2294,joy
2295,joy
2296,joy
2297,joy
2298,joy
2299,joy
2300,joy
2301,joy
2302,joy
2303,neutral
